***SESSION HEADER***
{
  "Participant": "NEO",
  "Timestamp": "11-04-18-05-09-2021"
}
---SESSION HEADER---
Time;Position; Rotation.X; Rotation.Y;FPS; Input;
39858.2503;(-23.9445, 0.0676, 0.0023);83.5000;0.5000;Infinity;;
39858.2683;(-23.1845, 0.9867, 0.0023);83.2000;1.9000;218.6902;;
39858.2843;(-23.1845, 1.0173, 0.0023);83.1000;2.1000;175.1599;;
39858.3013;(-23.1845, 1.0235, 0.0023);83.1000;2.1000;148.5184;;
39858.3173;(-23.1845, 1.0247, 0.0023);83.1000;2.1000;128.6863;;
39858.3344;(-23.1846, 1.0249, 0.0023);83.1000;2.1000;116.0472;;
39858.3674;(-23.1846, 1.0250, 0.0023);83.1000;2.1000;98.4529;;
39858.3834;(-23.1846, 1.0250, 0.0023);83.1000;2.1000;92.1172;;
39858.4004;(-23.1846, 1.0250, 0.0023);83.1000;2.1000;87.8527;;
39858.4174;(-23.1846, 1.0250, 0.0023);83.1000;2.1000;83.7707;;
39858.4344;(-23.1846, 1.0250, 0.0023);83.1000;2.1000;80.7549;;
39858.4674;(-23.1846, 1.0250, 0.0023);83.1000;2.1000;75.8045;;
39858.4834;(-23.1846, 1.0250, 0.0023);83.1000;2.1000;73.6127;;
39858.5005;(-23.1846, 1.0250, 0.0023);83.1000;2.1000;72.1859;;
39858.5175;(-23.1847, 1.0250, 0.0023);83.1000;2.1000;70.6028;;
39858.5345;(-23.1847, 1.0250, 0.0023);83.2000;2.0000;69.1902;;
39858.5685;(-23.1847, 1.0250, 0.0023);83.5000;1.8000;67.3792;;
39858.5845;(-23.1847, 1.0250, 0.0023);83.7000;1.8000;66.4260;;
39858.6015;(-23.1847, 1.0250, 0.0023);83.9000;1.8000;65.7524;;
39858.6175;(-23.1847, 1.0250, 0.0023);84.4000;1.8000;65.0738;;
39858.6345;(-23.1847, 1.0250, 0.0023);85.0000;1.9000;64.6330;;
39858.6675;(-23.1847, 1.0250, 0.0023);86.6000;2.4000;63.7892;;
39858.6845;(-23.1847, 1.0250, 0.0023);87.2000;2.7000;63.3553;;
39858.7015;(-23.1848, 1.0250, 0.0023);87.5000;2.8000;62.9772;;
39858.7176;(-23.1848, 1.0250, 0.0023);87.5000;2.8000;62.6730;;
39858.7345;(-23.1848, 1.0250, 0.0023);87.5000;2.8000;62.5110;;
39858.7676;(-23.1848, 1.0250, 0.0023);87.5000;2.8000;62.0258;;
39858.7846;(-23.1848, 1.0250, 0.0023);87.5000;2.8000;61.7424;;
39858.8011;(-23.1848, 1.0250, 0.0023);87.5000;2.8000;61.5866;;
39858.8171;(-23.1848, 1.0250, 0.0023);87.5000;2.8000;61.4385;;
39858.8341;(-23.1848, 1.0250, 0.0023);87.5000;2.8000;61.3508;;
39858.8672;(-23.1848, 1.0250, 0.0023);87.5000;2.8000;61.1419;;
39858.8842;(-23.1848, 1.0250, 0.0023);87.5000;2.8000;60.8658;;
39858.9012;(-23.1849, 1.0250, 0.0023);87.5000;2.8000;60.9061;;
39858.9172;(-23.1849, 1.0250, 0.0023);87.5000;2.8000;60.7353;;
39858.9342;(-23.1849, 1.0250, 0.0023);87.5000;2.8000;60.6909;;
39858.9672;(-23.1849, 1.0250, 0.0023);87.5000;2.8000;60.5697;;
39858.9842;(-23.1849, 1.0250, 0.0023);87.5000;2.8000;60.4154;;
39859.0012;(-23.1849, 1.0250, 0.0023);87.5000;2.8000;60.4448;;
39859.0172;(-23.1849, 1.0250, 0.0023);87.5000;2.8000;60.3537;;
39859.0342;(-23.1849, 1.0250, 0.0023);87.5000;2.8000;60.3968;;
39859.0672;(-23.1849, 1.0250, 0.0023);87.5000;2.8000;60.3272;;
39859.0842;(-23.1850, 1.0250, 0.0023);87.5000;2.8000;60.2358;;
39859.1011;(-23.1850, 1.0250, 0.0023);87.5000;2.8000;60.3176;;
39859.1171;(-23.1850, 1.0250, 0.0023);87.5000;2.8000;60.1788;;
39859.1341;(-23.1850, 1.0250, 0.0023);87.5000;2.8000;60.2413;;
39859.1678;(-23.1850, 1.0250, 0.0023);87.5000;2.8000;60.2200;;
39859.1848;(-23.1850, 1.0250, 0.0023);87.5000;2.8000;60.0194;;
39859.2008;(-23.1850, 1.0250, 0.0023);87.5000;2.8000;60.0633;;
39859.2178;(-23.1850, 1.0250, 0.0023);87.5000;2.8000;60.0382;;
39859.2348;(-23.1850, 1.0250, 0.0023);87.5000;2.8000;60.1755;;
